n=85000, #threads=14, mono_threaded=1.89391982s, 14_threaded=211.20801ms, ratio=0.111519
n=85000, #threads=15, mono_threaded=1.89391982s, 15_threaded=222.188547ms, ratio=0.117317
n=85000, #threads=16, mono_threaded=1.89391982s, 16_threaded=228.436626ms, ratio=0.120616
n=90000, #threads=2, mono_threaded=2.155287856s, 2_threaded=540.1964ms, ratio=0.250638
n=90000, #threads=3, mono_threaded=2.155287856s, 3_threaded=274.872637ms, ratio=0.127534
n=90000, #threads=4, mono_threaded=2.155287856s, 4_threaded=193.663494ms, ratio=0.089855
n=90000, #threads=5, mono_threaded=2.155287856s, 5_threaded=166.648715ms, ratio=0.077321
n=90000, #threads=6, mono_threaded=2.155287856s, 6_threaded=152.124599ms, ratio=0.070582
n=90000, #threads=7, mono_threaded=2.155287856s, 7_threaded=151.065643ms, ratio=0.070091
n=90000, #threads=8, mono_threaded=2.155287856s, 8_threaded=154.614637ms, ratio=0.071737
n=90000, #threads=9, mono_threaded=2.155287856s, 9_threaded=172.696361ms, ratio=0.080127
n=90000, #threads=10, mono_threaded=2.155287856s, 10_threaded=185.660998ms, ratio=0.086142
n=90000, #threads=11, mono_threaded=2.155287856s, 11_threaded=197.822697ms, ratio=0.091785
n=90000, #threads=12, mono_threaded=2.155287856s, 12_threaded=206.461183ms, ratio=0.095793
n=90000, #threads=13, mono_threaded=2.155287856s, 13_threaded=220.400385ms, ratio=0.102260
n=90000, #threads=14, mono_threaded=2.155287856s, 14_threaded=231.128361ms, ratio=0.107238
n=90000, #threads=15, mono_threaded=2.155287856s, 15_threaded=244.712151ms, ratio=0.113540
n=90000, #threads=16, mono_threaded=2.155287856s, 16_threaded=248.24902ms, ratio=0.115181
n=95000, #threads=2, mono_threaded=2.433912939s, 2_threaded=603.792133ms, ratio=0.248075
n=95000, #threads=3, mono_threaded=2.433912939s, 3_threaded=306.156379ms, ratio=0.125788
n=95000, #threads=4, mono_threaded=2.433912939s, 4_threaded=217.290636ms, ratio=0.089276
n=95000, #threads=5, mono_threaded=2.433912939s, 5_threaded=183.392575ms, ratio=0.075349
n=95000, #threads=6, mono_threaded=2.433912939s, 6_threaded=167.621588ms, ratio=0.068869
n=95000, #threads=7, mono_threaded=2.433912939s, 7_threaded=166.165127ms, ratio=0.068271
n=95000, #threads=8, mono_threaded=2.433912939s, 8_threaded=171.981702ms, ratio=0.070661
n=95000, #threads=9, mono_threaded=2.433912939s, 9_threaded=188.116749ms, ratio=0.077290
n=95000, #threads=10, mono_threaded=2.433912939s, 10_threaded=203.257022ms, ratio=0.083510
n=95000, #threads=11, mono_threaded=2.433912939s, 11_threaded=215.856114ms, ratio=0.088687
n=95000, #threads=12, mono_threaded=2.433912939s, 12_threaded=227.773106ms, ratio=0.093583
n=95000, #threads=13, mono_threaded=2.433912939s, 13_threaded=239.61752ms, ratio=0.098450
n=95000, #threads=14, mono_threaded=2.433912939s, 14_threaded=253.752118ms, ratio=0.104257
n=95000, #threads=15, mono_threaded=2.433912939s, 15_threaded=266.906939ms, ratio=0.109662
n=95000, #threads=16, mono_threaded=2.433912939s, 16_threaded=272.36871ms, ratio=0.111906
n=100000, #threads=2, mono_threaded=2.743506663s, 2_threaded=670.972645ms, ratio=0.244568
n=100000, #threads=3, mono_threaded=2.743506663s, 3_threaded=339.215935ms, ratio=0.123643
n=100000, #threads=4, mono_threaded=2.743506663s, 4_threaded=239.347196ms, ratio=0.087241
n=100000, #threads=5, mono_threaded=2.743506663s, 5_threaded=200.989084ms, ratio=0.073260
n=100000, #threads=6, mono_threaded=2.743506663s, 6_threaded=183.084658ms, ratio=0.066734
n=100000, #threads=7, mono_threaded=2.743506663s, 7_threaded=181.995296ms, ratio=0.066337
